Address,Latitude,Longitude,Name,Risk Category Improved,Violation Description Improved,Avg. Inspection Score,Avg. Rating
643 Post St,37.7875,-122.41233,Zzan,Low Risk,Inadequate warewashing facilities or equipment,90,3.5
1910 Lombard St,37.80052,-122.43308,Zushi Puzzle,Low Risk,Unapproved or unmaintained equipment or utensils,77,4
1658 Market St,37.7734826,-122.4216396,Zuni Café,Moderate Risk,Moderate risk food holding temperature,90,4
883 Mission St,37.78298293,-122.405959,zpizza,Low Risk,Unclean or degraded floors walls or ceilings,94,4
501 Post St,37.78782,-122.41037,Zingari Ristorante + Jazz Bar,Low Risk,Inadequate warewashing facilities or equipment,91,3.5
21 Drumm St,37.7938716,-122.3966162,Ziggy's Burgers,Low Risk,Improper or defective plumbing,90,3.5
2237 Taraval St,37.74216,-122.49031,Zhong Shan Restaurant,Moderate Risk,Moderate risk food holding temperature,86,3
826 Folsom St,37.78163,-122.40204,Zero Zero,High Risk,High risk food holding temperature,89,4
199 Valencia St,37.77003,-122.4221,Zeitgeist,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,96,3.5
941 Cole St,37.765244,-122.4501138,Zazie,Low Risk,Improper food storage,90,4
2340 Geary Blvd,37.78310895,-122.4418558,Zazang Korean Noodles,High Risk,High risk food holding temperature,79,3.5
607 Divisadero St,37.77515,-122.43804,Zaytoon Mediterranean,Moderate Risk,Moderate risk food holding temperature,94,4
1555 Mission St,37.77317,-122.41787,Zaoh Restaurant,Low Risk,Inadequate dressing rooms or improper storage of personal items,83,3.5
2405 Ocean Ave,37.72994,-122.46984,Zanze's Cheesecake,No Risk,No violation found,100,4.5
3489 Mission St,37.7411,-122.42257,Zante Pizza & Indian Cuisine,Low Risk,Unclean nonfood contact surfaces,86,3.5
4440 Mission St,37.7265692,-122.4335853,Zabb Thai Cuisine,Low Risk,Improper storage of equipment utensils or linens,91,4
1919 Hyde St,37.79859052,-122.4190428,Za Pizza,Low Risk,No thermometers or uncalibrated thermometers,96,4
295 Eddy St,37.78373,-122.41226,Z Zoul Cafe,Low Risk,Unapproved or unmaintained equipment or utensils,80,4.5
474 Columbus Ave,37.79938,-122.40864,Z Cioccolato,Moderate Risk,Insufficient hot water or running water,92,4.5
655 Jackson St,37.79607647,-122.4060148,Z & Y Restaurant,Low Risk,Unapproved or unmaintained equipment or utensils,75,3.5
606 Jackson St,37.79636,-122.40545,Z & Y Bistro,Moderate Risk,Foods not protected from contamination,92,4
5128 3rd St,37.73190357,-122.3918568,Yvonne's Southern Sweets,Low Risk,Inadequate dressing rooms or improper storage of personal items,98,4.5
1559 Sloat Blvd,37.73302036,-122.4911608,Yuyu Sushi,Low Risk,Unclean or degraded floors walls or ceilings,90,3
501 Balboa St,37.77708,-122.46428,Yuubi Japanese Restaurant,Low Risk,Inadequate dressing rooms or improper storage of personal items,96,4
1015 Irving St,37.76368,-122.46879,Yummy Yummy,Moderate Risk,Insufficient hot water or running water,75,4
1015 Irving St,37.76368,-122.46879,Yummy Yummy,Moderate Risk,Inadequate and inaccessible handwashing facilities,79,4
1708 Irving St,37.7637346,-122.4761766,Yummy Dumpling,High Risk,Unclean hands or improper use of gloves,87,4.5
721 Irving St,37.76386,-122.46553,Yumma's Mediterranean Grill,High Risk,Improper reheating of food,86,3.5
2181 Irving St,37.76323297,-122.4811093,Yum Yum Sushi House,Moderate Risk,Insufficient hot water or running water,88,3.5
