Address,Alias (Businesses),Alias (Businesses.Categories),Calculation1,Calculation2,Risk Category Improved,address_health_lower,yelp_address,City,Country,Display Address,Display Phone,Distance,Id,Image Url,Is Closed,Latitude,Latitude (Region.Center),Longitude,Longitude (Region.Center),Name,Phone,Price1,Rating,Review Count,Violation Description Improved,State,Table Names,Title,Total,Transactions,Url,Zip Code,Business Name Lower,Business Address,Business City,Business Id,Business Name,Business Phone Number,Business Postal Code,Business State,businesses Index (generated),categories Index (generated),Display Name Lower,Inspection Date,Inspection Id,Inspection Score,Inspection Type,Risk Category,transactions Index (generated),Violation Description,Violation Id
3202 Folsom St,charlies-deli-cafe-san-francisco,delis,,,Low Risk,3202 folsom st,3202 folsom st,San Francisco,US,3202 Folsom St,(415) 641-5051,2502.815489,hNze7c3mWvEnAXYT_geV9Q,https://s3-media4.fl.yelpcdn.com/bphoto/ALeJcRipYK_VatO4h3OWzA/o.jpg,FALSE,37.74716283,37.76089939,-122.4138951,-122.4364471,Charlie's Deli Cafe,14156415051,$,4.5,85,Wiping cloths not clean or properly stored or inadequate sanitizer,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Delis,34,delivery,https://www.yelp.com/biz/charlies-deli-cafe-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94117,charlie's deli cafe,3202 FOLSOM St,San Francisco,45,CHARLIE'S DELI CAFE,,94110,CA,1,1,charlie's deli cafe,4/4/19,45_20190404,92,Routine - Unscheduled,Low Risk,1,Wiping cloths not clean or properly stored or inadequate sanitizer,45_20190404_103149
747 Irving St,arts-cafe-san-francisco,diners,,,Moderate Risk,747 irving st,747 irving st,San Francisco,US,747 Irving St,(415) 665-7440,2621.456024,MXKWFQHoC0SXy9UI-Djn7g,https://s3-media1.fl.yelpcdn.com/bphoto/1criq57iWTY2_dhVSii1Xw/o.jpg,FALSE,37.763926,37.76089939,-122.4657578,-122.4364471,Art's Cafe,14156657440,$,4,1107,Moderate risk food holding temperature,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Diners,1300,delivery,https://www.yelp.com/biz/arts-cafe-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94122,art's cafe,747 IRVING St,San Francisco,48,ART'S CAFE,,94122,CA,1,1,art's cafe,10/11/18,48_20181011,87,Routine - Unscheduled,Moderate Risk,1,Moderate risk food holding temperature,48_20181011_103120
91 Drumm St,oasis-grill-san-francisco,mediterranean,,,Low Risk,91 drumm st,91 drumm st,San Francisco,US,91 Drumm St,(415) 781-0313,5108.368459,gBRjRvIfA4fIo6pNebTjuA,https://s3-media3.fl.yelpcdn.com/bphoto/Sg5cz9hi_p6G22TFja2xRA/o.jpg,FALSE,37.79444642,37.76089939,-122.3967365,-122.4364471,Oasis Grill,14157810313,$$,4,1249,Inadequate dressing rooms or improper storage of personal items,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Mediterranean,23,pickup,https://www.yelp.com/biz/oasis-grill-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94111,oasis grill,91 Drumm St,San Francisco,58,Oasis Grill,,94111,CA,1,1,oasis grill,6/27/19,58_20190627,83,Routine - Unscheduled,Low Risk,1,Inadequate dressing rooms or improper storage of personal items,58_20190627_103153
Pier 39,chowders-san-francisco,seafood,,,Low Risk,pier 39  space a3,pier 39,San Francisco,US,Pier 39,(415) 391-4737,5833.950223,oic-xcRpi-yXG3KZ4go0mg,https://s3-media2.fl.yelpcdn.com/bphoto/i4RQ4FCtWqIREotUb7hPsA/o.jpg,FALSE,37.80910389,37.76089939,-122.4102392,-122.4364471,Chowders,14153914737,$$,3.5,824,Improper or defective plumbing,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Seafood,784,delivery,https://www.yelp.com/biz/chowders-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94133,chowders,Pier 39  Space A3,San Francisco,61,Chowders,,94133,CA,1,1,chowders,8/30/18,61_20180830,94,Routine - Unscheduled,Low Risk,1,Improper or defective plumbing,61_20180830_103150
3595 California St,starbucks-san-francisco-132,coffee,,,Low Risk,1800 irving st,3595 california st,San Francisco,US,3595 California St,(415) 387-2249,3181.101514,Rj7h0U3Qm8NABv7IdBremg,https://s3-media4.fl.yelpcdn.com/bphoto/q3urW_G69sPB_Eec0NDh9g/o.jpg,FALSE,37.786261,37.76089939,-122.453194,-122.4364471,Starbucks,14153872249,$,3.5,422,Unclean or degraded floors walls or ceilings,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Coffee & Tea,582,delivery,https://www.yelp.com/biz/starbucks-san-francisco-132?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94118,starbucks,1800 IRVING St,San Francisco,66,STARBUCKS,,94122,CA,1,1,starbucks,12/26/18,66_20181226,98,Routine - Unscheduled,Low Risk,1,Unclean or degraded floors walls or ceilings,66_20181226_103154
4094 18th St,starbucks-san-francisco-52,coffee,,,Low Risk,1800 irving st,4094 18th st,San Francisco,US,4094 18th St,(415) 626-6263,157.1398217,mjih0yEQhxnoZU5xxnR21w,https://s3-media3.fl.yelpcdn.com/bphoto/A20TMwA5AItK2NMCwozElg/o.jpg,FALSE,37.761019,37.76089939,-122.434666,-122.4364471,Starbucks,14156266263,$,3.5,176,Unclean or degraded floors walls or ceilings,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Coffee & Tea,2600,delivery,https://www.yelp.com/biz/starbucks-san-francisco-52?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94114,starbucks,1800 IRVING St,San Francisco,66,STARBUCKS,,94122,CA,1,1,starbucks,12/26/18,66_20181226,98,Routine - Unscheduled,Low Risk,1,Unclean or degraded floors walls or ceilings,66_20181226_103154
350 Parnassus St,starbucks-san-francisco-238,coffee,,,Low Risk,1800 irving st,350 parnassus st,San Francisco,US,350 Parnassus St,(415) 665-6406,1788.661969,1InzuOHzYG3SzrYjcp8E7g,https://s3-media4.fl.yelpcdn.com/bphoto/h2icTM9tDrr31J8gMoTRuw/o.jpg,FALSE,37.76414182,37.76089939,-122.456377,-122.4364471,Starbucks,14156656406,$,3.5,67,Unclean or degraded floors walls or ceilings,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Coffee & Tea,1700,delivery,https://www.yelp.com/biz/starbucks-san-francisco-238?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94117,starbucks,1800 IRVING St,San Francisco,66,STARBUCKS,,94122,CA,1,1,starbucks,12/26/18,66_20181226,98,Routine - Unscheduled,Low Risk,1,Unclean or degraded floors walls or ceilings,66_20181226_103154
754 Columbus Ave,xox-truffles-san-francisco,chocolate,,,Low Risk,7 columbus ave,754 columbus ave,San Francisco,US,754 Columbus Ave,(415) 421-4814,5024.774981,qkHlhvv6DrCkvY54ogcPiA,https://s3-media1.fl.yelpcdn.com/bphoto/IncoewQwrR1dwnYRCibKLg/o.jpg,FALSE,37.80175,37.76089939,-122.41206,-122.4364471,XOX Truffles,14154214814,$,4.5,629,Wiping cloths not clean or properly stored or inadequate sanitizer,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Chocolatiers & Shops,10,delivery,https://www.yelp.com/biz/xox-truffles-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94133,xox truffles,7 Columbus Ave,San Francisco,98,XOX Truffles,,94133,CA,1,1,xox truffles,4/12/19,98_20190412,98,Routine - Unscheduled,Low Risk,1,Wiping cloths not clean or properly stored or inadequate sanitizer,98_20190412_103149
1099 Powell St,cable-car-corner-san-francisco,sandwiches,,,Moderate Risk,1099 powell st,1099 powell st,San Francisco,US,1099 Powell St,(415) 362-5925,4416.988007,O1baF6z-vMnyaULoGFKT6g,https://s3-media4.fl.yelpcdn.com/bphoto/Cilfqm_WEN-TlZ5dYPb7Xw/o.jpg,FALSE,37.79458618,37.76089939,-122.4099197,-122.4364471,Cable Car Corner,14153625925,$,2.5,5,Insufficient hot water or running water,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Sandwiches,9,,https://www.yelp.com/biz/cable-car-corner-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94108,cable car corner,1099 Powell St,San Francisco,101,Cable Car Corner,,94108,CA,1,1,cable car corner,1/29/18,101_20180129,92,Routine - Unscheduled,Moderate Risk,,Insufficient hot water or running water,101_20180129_103129
542 Mason St,akikos-sushi-bar-san-francisco,sushi,,,Moderate Risk,542a mason st,542 mason st,San Francisco,US,542 Mason St,(415) 989-8218,3869.201426,iIY6k6NnEeUmdmqkn9zJJw,https://s3-media3.fl.yelpcdn.com/bphoto/6tztHGjPU79i8p4wOXtg3Q/o.jpg,FALSE,37.788756,37.76089939,-122.410032,-122.4364471,Akiko's Sushi Bar,14159898218,$$,3.5,495,Moderate risk food holding temperature,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Sushi Bars,67,pickup,https://www.yelp.com/biz/akikos-sushi-bar-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94102,akiko's sushi bar,542A Mason St,San Francisco,102,Akiko's Sushi Bar,,94102,CA,1,1,akiko's sushi bar,5/8/19,102_20190508,94,Routine - Unscheduled,Moderate Risk,1,Moderate risk food holding temperature,102_20190508_103120
